Name,x,y,Region,Source
Devils Den,415208,169654,Avebury Henge,https://services.wiltshire.gov.uk/HistoryEnvRecord/Home/ViewHERItem?HER=MWI14048
West Woods,415683,165627,Avebury Henge,https://services.wiltshire.gov.uk/HistoryEnvRecord/Home/ViewHERItem?HER=MWI14049
West Kennet,410454,167741,Avebury Henge,https://services.wiltshire.gov.uk/HistoryEnvRecord/Home/ViewHERItem?HER=MWI14278
East Kennet,411630,166847,Avebury Henge,https://services.wiltshire.gov.uk/HistoryEnvRecord/Home/ViewHERItem?HER=MWI14279
White Hill,414363,167446,Avebury Henge,https://services.wiltshire.gov.uk/HistoryEnvRecord/Home/ViewHERItem?HER=MWI14311
Adam's Grave,411239,163388,Avebury Henge,https://services.wiltshire.gov.uk/HistoryEnvRecord/Home/ViewHERItem?HER=MWI14864
Old Chapel,412880,172914,Avebury Henge,https://services.wiltshire.gov.uk/HistoryEnvRecord/Home/ViewHERItem?HER=MWI15516
Temple Bottom,414857,172508,Avebury Henge,https://services.wiltshire.gov.uk/HistoryEnvRecord/Home/ViewHERItem?HER=MWI15517
Manton Down,414770,171309,Avebury Henge,https://services.wiltshire.gov.uk/HistoryEnvRecord/Home/ViewHERItem?HER=MWI15526
Roughridge Hill,405465,165774,Avebury Henge,https://services.wiltshire.gov.uk/HistoryEnvRecord/Home/ViewHERItem?HER=MWI6443
South Street,408991,169280,Avebury Henge,https://services.wiltshire.gov.uk/HistoryEnvRecord/Home/ViewHERItem?HER=MWI6444
Easton Down,406371,166094,Avebury Henge,https://services.wiltshire.gov.uk/HistoryEnvRecord/Home/ViewHERItem?HER=MWI6445
Long Stones,408702,169145,Avebury Henge,https://services.wiltshire.gov.uk/HistoryEnvRecord/Home/ViewHERItem?HER=MWI6446
East of the Avenue,410776,169517,Avebury Henge,https://services.wiltshire.gov.uk/HistoryEnvRecord/Home/ViewHERItem?HER=MWI73038
Beckhampton Road,406654,167733,Avebury Henge,https://services.wiltshire.gov.uk/HistoryEnvRecord/Home/ViewHERItem?HER=MWI7703
Beckhampton Plantation,409000,167150,Avebury Henge,https://services.wiltshire.gov.uk/HistoryEnvRecord/Home/ViewHERItem?HER=MWI7728
West of Oldbury,404432,169330,Avebury Henge,https://services.wiltshire.gov.uk/HistoryEnvRecord/Home/ViewHERItem?HER=MWI8168
Kings Play Hill,401066,165987,Avebury Henge,https://services.wiltshire.gov.uk/HistoryEnvRecord/Home/ViewHERItem?HER=MWI8169
Southeast of Hill Farm,400378,165289,Avebury Henge,https://services.wiltshire.gov.uk/HistoryEnvRecord/Home/ViewHERItem?HER=MWI8170
West of Old Shepherds Shore,403868,166083,Avebury Henge,https://services.wiltshire.gov.uk/HistoryEnvRecord/Home/ViewHERItem?HER=MWI8171
Kitchen,406682,164799,Avebury Henge,https://services.wiltshire.gov.uk/HistoryEnvRecord/Home/ViewHERItem?HER=MWI8502
