Ref_no,Name,Latitude,Longitude,Certainty
MWI74325,,414588,144909,Possible
MWI76495,,408774,169898,Possible
MWI77205,,414106,133197,Possible
SU06NW105,Oldbury,404695,169306,Certain
SU07SE105,Millbarrow,409421,172201,Certain
ST84SE100,King Barrow,389752,144456,Certain
SU14NE101,,418965,145990,Certain
SU14NW103,,411429,146675,Certain
SU14NW104,,411233,146869,Certain
SU14NW110,,410885,146620,Certain
SU14SW127,,411540,141729,Certain
SU14SW129,,411410,141069,Certain
SU15NW614,Cat's Brain,411850,157887,Certain
SU15SE100,,419884,151661,Certain
SU16NW100,West Kennet,410454,167738,Certain
SU16NW133,White Hill,414364,167444,Certain
SU16NW133,,419897,152198,Certain
SU16SW102,Adam's Grave,411241,163385,Certain
MWI75694,,410084,140580,Certain
SU35NW100,,431025,159245,Certain
SU06NE133,,409001,167147,Certain
SU06NE115,Horton Down,407678,165801,Certain
SU06NW106,,404434,169327,Possible
SU06NW108,,400379,165284,Possible
SU06NW109,,403872,166080,Certain
SU06SE101,,406683,164797,Certain
SU13SE663,,418669,132618,Possible
SU13SW106,,414157,133493,Certain
SU14NW102,Knighton,412792,145349,Certain
SU14NW108,,410889,145878,Certain
SU14SE103,,416361,143039,Certain
SU14SE600,,415134,143157,Possible
SU14SW105,,411936,142162,Possible
SU14SW11B,,414179,141939,Possible
SU14SW126,,410403,141177,Certain
SU14SW654,,410315,143457,Possible
SU16NW101,East Kennet,411631,166845,Certain
SU14SW997,,410101,140893,Possible
MWI77115,,389048,133554,Possible
SU12SE100,Giants Grave,416106,122999,Certain
SU12SW101,,412222,121996,Certain
SU13SE604,,415884,134040,Possible
SU14NE782,,416831,147345,Possible
SU14SW102,Amesbury 42,413747,143186,Certain
SU14SW125,,409996,141505,Certain
SU14SW128,,411882,141284,Certain
SU13NW100,Woodford G2,410082,137576,Certain
SU13SE100,Fussells Lodge,419143,132461,Certain
SU13SE101,Cockey Down,417363,131742,Certain
SU16NE648,,417974,167968,Possible
ST77NE100,,378084,177917,Certain
SU05SE100,Ell Barrow,407304,151368,Certain
SU06NE108,,406654,167734,Certain
SU06NW107,,401067,165986,Certain
ST84NE100,,387375,147059,Certain
SU13NW151,,410076,137710,Certain
SU13SE108,,417899,132288,Possible
SU14NE100,,416860,148229,Certain
SU14SW100,,412473,144383,Certain
SU14SW10W,,414602,142849,Certain
SU14SW133,,410794,140157,Certain
MWI78750,,425051,138449,Certain
SU17SW101,,414859,172506,Certain
SU17SW110,,410368,171554,Certain
SU23SW101,,422001,134257,Certain
SU25NE104,,428452,156090,Possible
SU23SW100,,420490,134809,Certain
SU25NE100,,429407,159942,Certain
SU25NE102,,429253,157602,Certain
ST92SW102,,394251,124194,Certain
ST92NE107,,398388,126411,Certain
ST94NW102,,392592,145960,Certain
ST87NW100,,383066,178556,Certain
ST95SW100,,390038,151595,Certain
ST83NW101,,384686,138371,Certain
ST83NW103,,382502,135998,Certain
SU02SW103,Kitts Grave,403185,121160,Certain
ST83SE102,,387934,134069,Certain
SU06NE107,,408703,169143,Certain
SU24NW101,,421690,146332,Certain
SU24NW629,,421247,146649,Possible
SU25SW781,,423451,151358,Possible
ST86SE643,,386565,162988,Possible
ST93NE102,,196873,139180,Certain
ST93NE103,,396564,137620,Certain
ST91NW100,,391682,119650,Certain
ST94NE101,,396749,146257,Certain
ST94NW101,,391848,145967,Certain
ST94SW100,Corton,393081,140337,Certain
ST94SW103,,391128,141512,Possible
ST83NW100,,384899,137949,Certain
ST98NW635,,391057,186428,Possible
SU17SW111,,414771,171306,Certain
SU24NW102,,421706,146255,Certain
SU25NE101,Tow ,427423,157742,Certain
SU25NE103,,425650,156729,Certain
SU24NW678,,420359,147332,Possible
SU25SE100,,426271,152809,Possible
SU26NE100,,426173,165926,Possible
SU27SE101,,429067,173894,Certain
ST93NE101,,395105,138424,Certain
ST94NE100,,396197,148172,Certain
ST94SW101,,392498,144180,Certain
ST94SW742,,390313,142759,Possible
ST95SW102,,393893,152395,Certain
SU02SE100,,409573,122443,Certain
ST88SW101,,382110,182824,Certain
SU06NE104,,405465,165772,Certain
SU06NE105,,408992,169278,Certain
SU06NE106,,406373,166093,Certain
SU04SE100,,409160,142793,Certain
MWI73199,,420991,183568,Possible
MWI73372,,416645,145611,Certain
SU27NW103,,422501,179762,Certain
ST94NW103,,390308,147180,Certain
ST87SE101,,387735,174717,Certain
ST83NE100,,387264,137438,Certain
ST94SE100,Knock,395623,144611,Certain
SU02SW101,,403410,121133,Certain
SU04NE100,,405961,149467,Certain
SU04NW100,Whitebarrow,403276,146847,Certain
SU04NW101,,402303,146837,Certain
SU04NW103,Kill ,400023,147896,Certain
MWI73097,Horseslip,408602,170499,Certain
ST94NW100,Bowls,394204,146767,Certain
SU04NW102,,402107,147521,Certain
SU16NW656,,414956,167758,Possible
SU23SW600,,420970,132899,Possible
SU16NE102,,415683,165625,Certain
