Site name / number,Abbreviation,Name,Parish / Grinsell number,Sub-form,Hoare #,Wilts SMR #,NMR #,SM #,WHS?,Length (m),Width (m),Height (m),Ditch width (m),Orientation,Excavated?,Focus of features,Visible from Stonehenge,Associated with round barrows,Causewayed or Continuous Ditches?,Ditch postholes,Internal pits,Internal postholes / stakeholes,Internal cairn / stones,Grid reference,X,Y,Latitude,Longitude,References,Plan Reference,Radiocarbon date & information
Amesbury 7,AM7,-,Amesbury 7,Oval barrow,21,SU 14 SW 730,SU 14 SW 399,10368,Y,18,12,0.20,2,NNW-SSE,Y,-,Y,Y,"Southern end causewayed, otherwise continuous all way round on magnetometry and earthworks, though GPR suggests some segmentation, albeit slight. Suggestion of burning in ditch due to high intensity magnetometry response in comparison to other barrows in group, and similar width and depth of ditch from GPR to other barrows in the group.",-,-,-,-,SU 1194 4217,411940,142170,51.17864200,-1.83056950,"Grinsell, L V (1957) ‘Archaeological Gazetteer’, in R B Pugh and E Crittall (eds) A History of Wiltshire. Volume 1, Part 1, 21–279. London, Oxford University Press; Field, D and Pearson, T (2011) Stonehenge World Heritage Site Landscape Project; Stonehenge Down and the Triangle; Archaeological Survey Report. English Heritage Research Reports Series 105-2011. Portsmouth, English Heritage; Field, D, Linford, N, Barber, M, Anderson-Whymark, H, Bowden, M, Topping, P, Linford, P (2014) ‘Analytical Surveys of Stonehenge and its Environs, 2009-2013; Part 1: the Landscape and Earthworks’, Proceedings of the Prehistoric Society 80, 1-32; Bowden M, Soutar S, Field D and Barber M. 2015. The Stonehenge Landscape; Analysing the Stonehenge World Heritage Site. Historic England, Swindon.","Field, D and Pearson, T (2011), Figure 5.",
Amesbury 10a,AM10a,-,Amesbury 10a,Long barrow? See Field et al 2014.,17,SU 14 SW 105,SU 14 SW 56,10369,Y,24,20,0.20,No ditch,W-E,Y,?,Y,Y,No ditch.,-,-,-,-,SU 1201 4209,412010,142090,51.17792100,-1.82957080,"Grinsell, L V (1957) ‘Archaeological Gazetteer’, in R B Pugh and E Crittall (eds) A History of Wiltshire. Volume 1, Part 1, 21–279. London, Oxford University Press; Field, D and Pearson, T (2011) Stonehenge World Heritage Site Landscape Project; Stonehenge Down and the Triangle; Archaeological Survey Report. English Heritage Research Reports Series 105-2011. Portsmouth, English Heritage; Field, D, Linford, N, Barber, M, Anderson-Whymark, H, Bowden, M, Topping, P, Linford, P (2014) ‘Analytical Surveys of Stonehenge and its Environs, 2009-2013; Part 1: the Landscape and Earthworks’, Proceedings of the Prehistoric Society 80, 1-32.","Field, D and Pearson, T (2011), Figure 5.",
Amesbury 14,AM14,-,Amesbury 14,Long barrow,165,SU 14 SW 127,SU 14 SW 91,10313,Y,33,18,1.60,8,NNW-SSE,Y,SE,Y,Y,Side ditches only and continuous.,-,-,-,-,SU 1154 4175,411540,141750,51.17487300,-1.83630520,"Thurnham, J (1868) 'On Ancient British Barrows, especially those of Wiltshire and the adjoining Counties (Part I. - Long Barrows)' Archaeologia 42 (1), 161-244; Grinsell, L V (1957) ‘Archaeological Gazetteer’, in R B Pugh and E Crittall (eds) A History of Wiltshire. Volume 1, Part 1, 21–279. London, Oxford University Press; Wessex Archaeology (1993) A303 Amesbury to Berwick Down, Wiltshire - Alternative Routes.Unit Report number: W580. Grey Literature Report, Wessex Archaeology. Available at https://doi.org/10.5284/1008553; Field, D and Pearson, T (2011) Stonehenge World Heritage Site Landscape Project; Stonehenge Down and the Triangle; Archaeological Survey Report. English Heritage Research Reports Series 105-2011. Portsmouth, English Heritage; Field, D, Linford, N, Barber, M, Anderson-Whymark, H, Bowden, M, Topping, P, Linford, P (2014) ‘Analytical Surveys of Stonehenge and its Environs, 2009-2013; Part 1: the Landscape and Earthworks’, Proceedings of the Prehistoric Society 80, 1-32; Bowden M, Soutar S, Field D and Barber M. 2015. The Stonehenge Landscape; Analysing the Stonehenge World Heritage Site. Historic England, Swindon.","Field, D and Pearson, T (2011), Figure 3.",
Amesbury 42,AM42,-,Amesbury 42,Long barrow,-,SU 14 SW 102,SU 14 SW 3,10324,Y,62,20,0.30,11,N-S,Y,S,Y,N,"1st phase causewayed, 2nd phase continuous.",-,-,2 stakeholes.,-,SU 1374 4318,413740,143180,51.18768300,-1.80478100,"Thurnham, J (1868) 'On Ancient British Barrows, especially those of Wiltshire and the adjoining Counties (Part I. - Long Barrows)' Archaeologia 42 (1), 161-244; Grinsell, L V (1957) ‘Archaeological Gazetteer’, in R B Pugh and E Crittall (eds) A History of Wiltshire. Volume 1, Part 1, 21–279. London, Oxford University Press; Richards, J. 1990. The Stonehenge Environs Project. English Heritage Archaeological Report 16 / Historic Buildings and Monuments Commission; Bishop, S (2011) The Stonehenge World Heritage Site Landscape Project; King Barrow Ridge; Archaeological Survey Report; English Heritage Research Reports Series 83-2011. Portsmouth, English Heritage; Bowden M, Soutar S, Field D and Barber M. 2015. The Stonehenge Landscape; Analysing the Stonehenge World Heritage Site. Historic England, Swindon.","Bishop (2012), Figure 5.",3640-3370 cal BC *2 sigma); OxA-20594 (Bayliss and Whittle 2007)
Amesbury 140,AM140,-,Amesbury 140,Short long barrow?,-,SU 14 SW 11B,SU 14 SW  257,Unscheduled,Y,21.5,12,0.00,3,NNW-SSE,Y,?,N,N,"Side ditches only and continuous, but peculiar relationship with apparent round barrow mapped from aerial photography and via GPR - a curving ditch matching the round barrow circuit appears below the long barrow on GPR - perhaps the 'round barrow' is an earlier mound or ring ditch?",Around the inner edge of flanking ditches; possible flint or other poorly-conductive packing,-,Square of internal ?postholes?,"This quote refers to Amesbury 104, not 140, but it has been suggested that the two are linked. Possible round cist (large) at SE end - Lukis ""At West Amesbury was a long barrow (now destroyed) with a cist at one end"" p155. GPR shows complex series of features at SE end, including a round feature that looks like a round barrow, but appears to include a ditch that lies beneath features of the long barrow. Could this be the 'cist' which Lukis mentions? The sense of Lukis' use of cists is illustrated by the context of his discussion, in which he expounds at length on the nature of cists and chambers, and is clearly thinking of stone chambers in the manner of chamber tombs. GPR doesn't show any in situ large stones, unless the square of internal features are former stone settings. ",SU 1418 4194,414180,141940,51.17652300,-1.79853380,"Lukis, W C (1864) 'Danish Cromlechs and Burial Customs compared with those of Brittanny, the Channel Islands, and Great Britain' (As AM104; NB - the connection of Amesbury 104 with 140 is far from certain, but has been noted as a possibility by various scholars), Wiltshire Archaeological and Natural History Magazine 8, 145-169; Grinsell, L V (1957) ‘Archaeological Gazetteer’, in R B Pugh and E Crittall (eds) A History of Wiltshire. Volume 1, Part 1, 21–279. London, Oxford University Press; Bowden M, Soutar S, Field D and Barber M. 2015. The Stonehenge Landscape; Analysing the Stonehenge World Heritage Site. Historic England, Swindon; Wessex Archaeology (2016a) ‘A303 Amesbury to Berwick Down; Geophysical Survey Report’. Unpublished report, Wessex Archaeology / ArupAtkins / Highways England;","Wessex Archaeology (2016a), Figures 36, 37, 42, 62 & 63.",
Bulford 1,BUL1,-,Bulford 1,Long barrow,-,SU 14 SE 103,SU 14 SE 80,28923,N,47,27,2.00,8,?,N,W?,N,N,"Side ditches only, continuous.",-,-,-,-,SU 16360 43043,416360,143043,51.18638300,-1.76729900,"Grinsell, L V (1957) ‘Archaeological Gazetteer’, in R B Pugh and E Crittall (eds) A History of Wiltshire. Volume 1, Part 1, 21–279. London, Oxford University Press",Aerial plot on WebGIS (HE internal resource).,
Durrington 76 (M# 1069293),DUR76,Cuckoo Stone barrow,Durrington 76,Long barrow,-,SU 14 SW 10W,SU 14 SW 521,1069293,Y,40,28,0.00,6,NE-SW,N,-,N,N,"Side ditches only and continuous. Western appears segmented, eastern continuous on aerial photography.",-,-,-,-,SU 1464 4324,414640,143240,51.18820100,-1.79190090,"RCHME Survey 1990; Stonehenge WHS Mapping Project (unpub.); Bowden M, Soutar S, Field D and Barber M. 2015. The Stonehenge Landscape; Analysing the Stonehenge World Heritage Site. Historic England, Swindon.",Aerial plot on WebGIS (HE internal resource).,
Durrington 24,DUR24,Larkhill Camp,Durrington 24,Long barrow,-,SU 14 SW 100,SU 14 SW 23,1012167,N,45,16,1.00,5,NW-SE,N,SE?,Y,N,Unclear from survey.,-,-,-,-,SU 1247 4437,412470,144370,51.19841300,-1.82291180,"Grinsell, L V (1957) ‘Archaeological Gazetteer’, in R B Pugh and E Crittall (eds) A History of Wiltshire. Volume 1, Part 1, 21–279. London, Oxford University Press; McOmish, D, Field, D and Brown, G (2002) The Field Archaeology of the Salisbury Plain Training Area. Swindon: English Heritage.","McOmish et al (2002), Fig 2.8, C",
Figheldean 27,FIG27,Knighton Down ,Figheldean 27,Long barrow,-,SU 14 NW 102,SU 14 SW23,10132,N,55,21,3.00,6.5,W-E,Y,?,Y,N,"Side ditches only, continuous.",-,-,-,-,SU 1279 4535,412790,145350,50.93008200,-1.81952000,"Grinsell, L V (1957) ‘Archaeological Gazetteer’, in R B Pugh and E Crittall (eds) A History of Wiltshire. Volume 1, Part 1, 21–279. London, Oxford University Press","McOmish et al (2002), Fig 2.8, F",
Figheldean 31,FIG31,Alton Down,Figheldean 31,Long barrow,-,SU 14 NW 108,SU 14 NW 5,10125,N,45,15,0.70,7.5,NW-SE,Y,?,Y,N,"Side ditches only, continuous.",-,1,-,3 sarsens lie in ditch but no record of formal excavation.,SU 1089 4588,410890,145880,51.21202200,-1.84547920,"Thurnham, J (1868) 'On Ancient British Barrows, especially those of Wiltshire and the adjoining Counties (Part I. - Long Barrows)' Archaeologia 42 (1), 161-244; Grinsell, L V (1957) ‘Archaeological Gazetteer’, in R B Pugh and E Crittall (eds) A History of Wiltshire. Volume 1, Part 1, 21–279. London, Oxford University Press; McOmish, D, Field, D and Brown, G (2002) The Field Archaeology of the Salisbury Plain Training Area. Swindon: English Heritage.","McOmish et al (2002), Fig 2.8, E",
