id,display_name,status,barrow_type,cluster,lat,lon,easting,northing,azimuth_display_deg,azimuth_display_source,azimuth_prefer,azimuth_eye_deg,azimuth_deg,azimuth_lidar_deg,azimuth_lidar_conf,delta_display_vs_nhle,delta_display_vs_lidar,azimuth_prefer_note
ST91NW100,ST91NW100,certain,earthen,South Wiltshire / Chase fringe,50.9762,-2.119851,391682.0,119650.0,68.5,eye,eye,68.5,,68.3,0.766,,0.2,
SU02SW101,Vernditch Chase long barrow,certain,earthen,South Wiltshire / Chase fringe,50.989588,-1.95279,403410.0,121133.0,65.0,eye,eye,65.0,85.3,,0.596,20.3,,
SU12SW101,Long barrow 600yds (550m) SE of Vanity,certain,earthen,South Wiltshire / Chase fringe,50.99723,-1.827211,412222.0,121996.0,146.5,eye,eye,146.5,138.8,140.2,0.655,7.7,6.3,
SU02SE100,"Long barrow on Little Toyd Down, 760m south west of Grims Lodge Farm",certain,earthen,South Wiltshire / Chase fringe,51.001299,-1.864948,409573.0,122443.0,86.5,eye,eye,86.5,90.0,86.4,0.886,3.5,0.1,
SU12SE100,Giants Grave,certain,earthen,South Wiltshire / Chase fringe,51.006154,-1.771821,416106.0,122999.0,9.0,eye,eye,9.0,10.5,17.3,0.834,1.5,8.3,
ST92SW102,Long barrow 170m south west of triangulation pillar on White Sheet Hill,certain,earthen,South Wiltshire / Chase fringe,51.017092,-2.083333,394251.0,124194.0,59.5,eye,eye,59.5,62.3,57.0,0.754,2.8,2.5,
ST92NE107,ST92NE107,certain,earthen,South Wiltshire / Chase fringe,51.037055,-2.024366,398388.0,126411.0,33.5,eye,eye,33.5,,,0.187,,,
ST83SE102,"Long barrow on Keysley Down, 1020m NNE of Chapel Field Barn",certain,earthen,Wiltshire chalk,51.10579,-2.17372,387934.0,134069.0,146.5,eye,eye,146.5,115.7,,0.5,30.8,,
SU23SW100,SU23SW100,certain,earthen,Stonehenge / Salisbury Plain,51.112212,-1.708673,420490.0,134809.0,20.5,eye,eye,20.5,,43.3,0.669,,22.8,
ST83NE100,"Long barrow on Pertwood Down, 1400m north-west of Lower Pertwood",certain,earthen,Wiltshire chalk,51.13607,-2.18341,387264.0,137438.0,109.0,lidar,lidar,,125.1,109.0,0.934,16.1,0.0,
ST93NE103,"Long barrow in Barrow Clump, Stockton Down",certain,earthen,Wiltshire chalk,51.137839,-2.05049,396564.0,137620.0,29.0,eye,eye,29.0,30.8,,0.439,1.8,,
ST83NW101,Long barrow on Cold Kitchen Hill,certain,earthen,Wiltshire chalk,51.144395,-2.220296,384686.0,138371.0,148.5,eye,eye,148.5,154.1,148.4,0.854,5.6,0.1,
ST93NE101,Long barrow 250m east of Boyton Field Barn,certain,earthen,Wiltshire chalk,51.145058,-2.071355,395105.0,138424.0,99.5,eye,eye,99.5,100.9,99.7,0.839,1.4,0.2,
MWI78750,MWI78750,certain,earthen,Wiltshire chalk,51.144762,-1.643267,425051.0,138449.0,16.0,eye,eye,16.0,,,0.589,,,
SU14SW133,Lake Group,certain,earthen,Stonehenge / Salisbury Plain,51.160563,-1.847024,410794.0,140157.0,111.0,eye,eye,111.0,,113.2,0.698,,2.2,2026-09-08 re-review: eye 111° confirmed (Roberts class NW-SE).
ST94SW100,Corton,certain,earthen,Wiltshire chalk,51.162238,-2.100326,393081.0,140337.0,84.0,eye,eye,84.0,90.5,,0.017,6.5,,
SU14SW129,Normanton Down 2,certain,earthen,Stonehenge / Salisbury Plain,51.168752,-1.838186,411410.0,141069.0,89.0,eye,eye,89.0,66.8,43.2,0.493,22.2,45.8,
SU14SW126,Wilsford Down,certain,earthen,Stonehenge / Salisbury Plain,51.169742,-1.852586,410403.0,141177.0,60.2,lidar,lidar,,2.6,60.2,0.488,57.6,0.0,
SU14SW128,Normanton Down,certain,earthen,Stonehenge / Salisbury Plain,51.170676,-1.831428,411882.0,141284.0,21.5,eye,eye,21.5,105.5,,0.002,84.0,,
SU14SW125,Winterbourne Stoke Crossroads,certain,earthen,Stonehenge / Salisbury Plain,51.172699,-1.858398,409996.0,141505.0,35.0,eye,eye,35.0,34.1,34.9,0.886,0.9,0.1,
SU04SE100,Winterbourne Stoke Down,certain,earthen,Stonehenge / Salisbury Plain,51.184294,-1.870324,409160.0,142793.0,90.0,nhle,nhle,,90.0,53.2,0.903,0.0,36.8,
SU14SW10W,South of Fargo Road,certain,earthen,Stonehenge / Salisbury Plain,51.184686,-1.79246,414602.0,142849.0,174.5,eye,eye,174.5,,,0.003,,,
SU14SE103,Southwest of Bulford,certain,earthen,Stonehenge / Salisbury Plain,51.186347,-1.767285,416361.0,143039.0,109.5,eye,eye,109.5,100.2,,0.018,9.3,,
SU14SW102,Amesbury 42,certain,earthen,Stonehenge / Salisbury Plain,51.187737,-1.804681,413747.0,143186.0,5.0,eye,eye,5.0,,9.5,0.702,,4.5,
ST94SW101,West Hill long barrow,certain,earthen,Wiltshire chalk,51.196787,-2.108745,392498.0,144180.0,163.0,eye,eye,163.0,71.7,,0.009,88.7,,
SU14SW100,Knighton Down,certain,earthen,Stonehenge / Salisbury Plain,51.198529,-1.822868,412473.0,144383.0,136.5,eye,eye,136.5,129.8,,0.099,6.7,,
ST84SE100,King Barrow,certain,earthen,Wiltshire chalk,51.199226,-2.148052,389752.0,144456.0,161.5,eye,eye,161.5,158.1,161.5,0.726,3.4,0.0,
ST94SE100,Knock,certain,earthen,Wiltshire chalk,51.200696,-2.064028,395623.0,144611.0,47.5,eye,eye,47.5,46.5,,0.489,1.0,,
SU14NW102,Knighton,certain,earthen,Stonehenge / Salisbury Plain,51.207209,-1.818269,412792.0,145349.0,88.5,eye,eye,88.5,91.0,88.7,0.767,2.5,0.2,
