id,display_name,cluster,barrow_type,azimuth_display_deg,ridge_deg,downslope_deg,slope_deg,plane_rmse_m,delta_vs_ridge,delta_vs_downslope,delta_vs_midsummer,delta_vs_equinox,delta_vs_midwinter
ST91NW100,ST91NW100,South Wiltshire / Chase fringe,earthen,68.5,73.57,343.57,4.521,15.899,5.07,84.93,18.3,21.2,60.5
SU02SW101,Vernditch Chase long barrow,South Wiltshire / Chase fringe,earthen,65.0,43.65,313.65,2.487,2.517,21.35,68.65,14.8,24.7,64.0
SU12SW101,Long barrow 600yds (550m) SE of Vanity,South Wiltshire / Chase fringe,earthen,146.5,77.88,347.88,1.162,2.526,68.62,21.38,83.7,56.8,17.5
SU02SE100,"Long barrow on Little Toyd Down, 760m south west of Grims Lodge Farm",South Wiltshire / Chase fringe,earthen,86.5,94.15,4.15,1.994,4.447,7.65,82.35,36.3,3.2,42.5
SU12SE100,Giants Grave,South Wiltshire / Chase fringe,earthen,9.0,24.13,294.13,2.731,5.2,15.13,74.87,41.2,80.7,60.0
ST92SW102,Long barrow 170m south west of triangulation pillar on White Sheet Hill,South Wiltshire / Chase fringe,earthen,59.5,17.23,107.23,3.73,21.261,42.27,47.73,9.3,30.2,69.5
ST92NE107,ST92NE107,South Wiltshire / Chase fringe,earthen,33.5,76.32,166.32,5.72,20.927,42.82,47.18,16.7,56.2,84.5
ST83SE102,"Long barrow on Keysley Down, 1020m NNE of Chapel Field Barn",Wiltshire chalk,earthen,146.5,177.86,87.86,0.056,5.215,31.36,58.64,83.7,56.8,17.5
SU23SW100,SU23SW100,Stonehenge / Salisbury Plain,earthen,20.5,23.17,113.17,2.979,7.521,2.67,87.33,29.7,69.2,71.5
ST83NE100,"Long barrow on Pertwood Down, 1400m north-west of Lower Pertwood",Wiltshire chalk,earthen,109.0,121.08,31.08,4.194,8.923,12.08,77.92,58.8,19.3,20.0
ST93NE103,"Long barrow in Barrow Clump, Stockton Down",Wiltshire chalk,earthen,29.0,1.63,91.63,0.99,7.208,27.37,62.63,21.2,60.7,80.0
ST83NW101,Long barrow on Cold Kitchen Hill,Wiltshire chalk,earthen,148.5,98.7,188.7,3.895,20.119,49.8,40.2,81.7,58.8,19.5
ST93NE101,Long barrow 250m east of Boyton Field Barn,Wiltshire chalk,earthen,99.5,124.35,214.35,3.074,9.427,24.85,65.15,49.3,9.8,29.5
MWI78750,MWI78750,Wiltshire chalk,earthen,16.0,41.65,311.65,4.087,2.231,25.65,64.35,34.2,73.7,67.0
SU14SW133,Lake Group,Stonehenge / Salisbury Plain,earthen,111.0,128.32,218.32,0.749,3.03,17.32,72.68,60.8,21.3,18.0
ST94SW100,Corton,Wiltshire chalk,earthen,84.0,88.41,178.41,3.304,10.945,4.41,85.59,33.8,5.7,45.0
SU14SW129,Normanton Down 2,Stonehenge / Salisbury Plain,earthen,89.0,110.41,20.41,1.893,1.424,21.41,68.59,38.8,0.7,40.0
SU14SW126,Wilsford Down,Stonehenge / Salisbury Plain,earthen,60.2,6.25,276.25,0.759,1.747,53.95,36.05,10.0,29.5,68.8
SU14SW128,Normanton Down,Stonehenge / Salisbury Plain,earthen,21.5,156.07,246.07,0.747,2.85,45.43,44.57,28.7,68.2,72.5
SU14SW125,Winterbourne Stoke Crossroads,Stonehenge / Salisbury Plain,earthen,35.0,50.46,320.46,0.292,2.578,15.46,74.54,15.2,54.7,86.0
SU04SE100,Winterbourne Stoke Down,Stonehenge / Salisbury Plain,earthen,90.0,81.35,351.35,0.639,3.56,8.65,81.35,39.8,0.3,39.0
SU14SW10W,South of Fargo Road,Stonehenge / Salisbury Plain,earthen,174.5,28.97,298.97,1.363,2.191,34.47,55.53,55.7,84.8,45.5
