id,name,nhle_az,lidar_az,delta,conf,gowland_hint,prefer
SU04NW100,Whitebarrow,4.0,91.7,87.7,0.838,prefer LiDAR (NHLE suspect),
SU06NE106,Easton Down,143.5,43.7,80.2,0.754,prefer LiDAR (NHLE suspect),
SU06NE105,South Street,132.6,68.9,63.7,0.862,prefer LiDAR (NHLE suspect),
ST84NE100,Colloway Clump long barrow,10.4,127.5,62.9,0.805,prefer LiDAR (NHLE suspect),
ST94NW103,Oxendean Down long barrow,109.7,170.0,60.3,0.861,prefer LiDAR (NHLE suspect),
SU14SW126,Wilsford Down,2.6,60.2,57.6,0.488,hold (mid conf),
SU06NE115,Horton Down,147.6,97.7,49.9,0.845,,
SU04SE100,Winterbourne Stoke Down,90.0,53.2,36.8,0.903,,
SU14SW129,Normanton Down 2,66.8,43.2,23.6,0.493,hold (mid conf),
SU13SE604,'Ende Burgh' long barrow,30.9,11.1,19.8,0.497,hold (mid conf),
SU06SE101,Kitchen,18.3,35.5,17.2,0.737,minor Δ — optional,
ST95SW102,"Long barrow, Tinhead Hill",64.3,47.4,16.9,0.889,minor Δ — optional,
ST83NE100,"Long barrow on Pertwood Down, 1400m north-west of Lower Pertwood",125.1,109.0,16.1,0.934,minor Δ — optional,
SU06NE108,Beckhampton Road,53.3,68.8,15.5,0.723,minor Δ — optional,
